IDReparacion,Descripcion,Cantidad,ValorUnitario,CreadoEn
1,reparar y pintar puerta delantera rh,1,2300.00,19/09/2019
2,reparar y pintar puerta trasera rh,1,2300.00,19/09/2019
3,reparar y pintar faldón rh,1,1400.00,19/09/2019
4,reparar y pintar rin trasero rh,1,1000.00,19/09/2019
5,pintar bomper frontal,1,2300.00,19/09/2019
6,instalar foco LH,1,150.00,19/09/2019
7,pintar guardafango LH,1,2000.00,19/09/2019
8,pintar fender de guardafango LH,1,1400.00,19/09/2019
9,pintar pata de tono lh,1,200.00,19/09/2019
10,pintar marco de montaje superior,1,1500.00,19/09/2019
11,instalar guia de bomper frontal lh,1,100.00,19/09/2019
12,instalar filler de foco lh,1,120.00,19/09/2019
13,reparar y pintar tolva inferior de bomper frontal,1,1600.00,19/09/2019
14,reparar y pintar pierna de guardafango lh,1,1800.00,19/09/2019
15,reparar y pintar paral superior delantero lh,1,1000.00,19/09/2019
16,reparar y pintar rin delantero lh,1,800.00,19/09/2019
17,reparar y pintar paral delantero lh,1,1300.00,19/09/2019
18,reparar y pintar tono,1,2500.00,19/09/2019
19,reparar y pintar puerta delantera lh,1,2200.00,19/09/2019
20,reparar y pintar guardafango rh,1,1800.00,19/09/2019
21,reparar y pintar fender de guardafango rh,1,1000.00,19/09/2019
22,Alineamiento de Ruedas,1,300.00,19/09/2019
23,Mano de Obra Mecanica,1,500.00,19/09/2019
24,Carga de A/C,1,1300.00,19/09/2019
25,reparar y pintar tono,1,2300.00,19/09/2019
26,reparar y pintar pierna de guardafango lh,1,2500.00,19/09/2019
27,reparar y pintar punta de chasis frontal lh,1,2600.00,19/09/2019
28,reparar y pintar puerta delantera lh,1,2500.00,19/09/2019
29,reparar y pintar paral interno delantero lh,1,1000.00,19/09/2019
30,reparar y pintar bisagras de pta delantera lh,1,500.00,19/09/2019
31,reparar y pintar marco de montaje frontal,1,1200.00,19/09/2019
32,reparar y pintar pata de tono rh y lh,1,400.00,19/09/2019
33,reparar y pintar guardafango rh,1,2000.00,19/09/2019
34,reparar y pintar tolva de parabrisas,1,700.00,19/09/2019
35,reparar patas de foco rh,1,300.00,19/09/2019
36,instalar y pintar guardafango lh,1,2000.00,19/09/2019
37,instalar tolva de guardafango lh,1,150.00,19/09/2019
38,instalar foco LH,1,200.00,19/09/2019
39,instalar bomper frontal,1,2200.00,19/09/2019
40,instalar parrilla frontal,1,250.00,19/09/2019
41,instalar guia de bomper frontal rh y lh,1,200.00,19/09/2019
42,instalar vidrio frontal,1,1200.00,19/09/2019
43,instalar via de guardafango lh,1,100.00,19/09/2019
44,Reconstruir reparar y pintar bomper frontal,1,5000.00,19/09/2019
45,reparar y pintar tolva de bomper frontal,1,1200.00,19/09/2019
46,reparar y pintar marco de montaje frontal,1,2000.00,19/09/2019
47,reparar y pintar tono,1,2200.00,19/09/2019
48,reparar y pintar tapaderas de halogenas rh y lh,1,600.00,19/09/2019
49,reparar y pintar rejilla de bomper frontal,1,500.00,19/09/2019
50,reparar guia de bomper frontal rh y lh,1,300.00,19/09/2019
51,Alineamiento Ruedas,1,300.00,19/09/2019
52,Carga de A/C,1,1300.00,19/09/2019
53,Des/mont. Radiador,1,0.00,19/09/2019
54,Des/mont. Condensador de A/C,1,0.00,19/09/2019
55,Mano de Obra Mecanica,1,1500.00,19/09/2019
